Time,Currency,Impact,Event,Actual,Forecast,Previous
10:30am,EUR,Medium,Sentix Investor Confidence,-17.5,-12.4,-12.8
All Day,EUR,Medium,Eurogroup Meetings,,,
2:00pm,GBP,Medium,MPC Member Ramsden Speaks,,,
4:00pm,USD,Medium,Final Wholesale Inventories m/m,0.2%,0.2%,0.2%
12:50am,JPY,Medium,M2 Money Stock y/y,1.2%,1.2%,1.2%
1:30am,AUD,Medium,NAB Business Confidence,-3,,5
4:06am,CNY,Medium,USD-Denominated Trade Balance,97.4B,94.0B,95.7B
4:07am,CNY,Medium,Trade Balance,693B,682B,679B
4:30am,AUD,High,Cash Rate,4.35%,4.35%,4.35%
5:30am,AUD,N/A,RBA Press Conference,,,
6:58am,JPY,Medium,Prelim Machine Tool Orders y/y,3.0%,,9.3%
8:00am,EUR,Medium,German Final CPI m/m,-0.2%,-0.2%,-0.2%
10:00am,EUR,Medium,Italian Industrial Production m/m,0.0%,-0.1%,-0.3%
All Day,EUR,Medium,ECOFIN Meetings,,,
12:00pm,USD,Medium,NFIB Small Business Index,101.7,94.6,93.7
All Day,All,N/A,OPEC Meetings,,,
2:30pm,USD,Medium,Revised Nonfarm Productivity q/q,2.2%,2.3%,2.2%
10:45pm,NZD,Medium,Manufacturing Sales q/q,-0.1%,,0.9%
12:50am,JPY,Medium,BSI Manufacturing Index,6.3,1.8,4.5
8:00am,AUD,Medium,RBA Deputy Gov Hauser Speaks,,,
11:05am,GBP,Medium,10-y Bond Auction,4.33|2.9,,4.48|2.8
2:30pm,USD,High,Core CPI m/m,0.3%,0.3%,0.3%
3:45pm,CAD,High,BOC Rate Statement,,,
4:30pm,CAD,High,BOC Press Conference,,,
7:01pm,USD,Medium,10-y Bond Auction,4.24|2.7,,4.35|2.6
8:00pm,USD,Medium,Federal Budget Balance,-366.8B,-349.0B,-257.5B
1:01am,GBP,Medium,RICS House Price Balance,25%,19%,16%
1:30am,AUD,High,Employment Change,35.6K,26.0K,12.1K
9:30am,CHF,High,SNB Monetary Policy Assessment,,,
10:00am,CHF,High,SNB Press Conference,,,
11:15am,EUR,Medium,Italian 10-y Bond Auction,3.19|2.1,,3.39|1.6
2:15pm,EUR,High,Main Refinancing Rate,3.15%,3.15%,3.40%
2:30pm,CAD,Medium,Building Permits m/m,-3.1%,-4.8%,11.5%
2:45pm,EUR,High,ECB Press Conference,,,
3:30pm,GBP,Medium,CB Leading Index m/m,0.0%,,0.0%
4:30pm,USD,Medium,Natural Gas Storage,-190B,-172B,-30B
7:01pm,USD,Medium,30-y Bond Auction,4.54|2.4,,4.61|2.6
10:30pm,NZD,Medium,BusinessNZ Manufacturing Index,45.5,,45.7
10:45pm,NZD,Medium,Visitor Arrivals m/m,0.6%,,1.3%
12:50am,JPY,Medium,Tankan Manufacturing Index,14,13,13
1:01am,GBP,Medium,GfK Consumer Confidence,-17,-18,-18
2:30am,AUD,Medium,RBA Assist Gov Hunter Speaks,,,
5:30am,JPY,Medium,Revised Industrial Production m/m,2.8%,3.0%,3.0%
8:00am,EUR,Medium,German Trade Balance,13.4B,15.7B,16.9B
8:45am,EUR,Medium,French Final CPI m/m,-0.1%,-0.1%,-0.1%
10:30am,GBP,Medium,Consumer Inflation Expectations,3.0%,,2.7%
All Day,All,Medium,G7 Meetings,,,
11:00am,EUR,Medium,German Buba Monthly Report,,,
12:01pm,CNY,Medium,M2 Money Supply y/y,7.1%,7.6%,7.5%
12:02pm,CNY,N/A,New Loans,580B,950B,500B
1:32pm,GBP,Medium,NIESR GDP Estimate,0.0%,,0.1%
