Time,Currency,Impact,Event,Actual,Forecast,Previous
2:30pm,CAD,High,GDP m/m,0.2%,0.3%,-0.2%
,USD,High,Core PCE Price Index m/m,0.3%,0.3%,0.2%
,USD,Medium,Goods Trade Balance,-153.3B,-116.9B,-122.0B
,USD,Medium,Personal Income m/m,0.9%,0.4%,0.4%
,USD,Medium,Personal Spending m/m,-0.2%,0.2%,0.8%
,USD,Medium,Prelim Wholesale Inventories m/m,0.7%,0.1%,-0.4%
3:45pm,USD,N/A,Chicago PMI,45.5,40.5,39.5
6:15pm,USD,High,President Trump Speaks,,,
N/A,N/A,N/A,N/A,N/A,N/A,N/A
2:30am,CNY,High,Manufacturing PMI,,49.9,49.1
,CNY,N/A,Non-Manufacturing PMI,,50.4,50.2
4:15am,USD,Medium,FOMC Member Goolsbee Speaks,,,
